"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","2","LTC1855CG#PBF-ND","LTC1855CG#PBF","IC ADC 14BIT SAR 28SSOP","","0","26.12000","52.24"
"2","2","296-13645-1-ND","INA217AIDWT","IC INST AMP 1 CIRCUIT 16SOIC","","0","11.67000","23.34"
"3","2","OP177GPZ-ND","OP177GPZ","IC OPAMP GP 1 CIRCUIT 8DIP","","0","6.06000","12.12"
"4","10","478-1683-1-ND","TAJB226K020RNJ","CAP TANT 22UF 10% 20V 1411","","0","0.45200","4.52"
"5","10","311-5.11CRCT-ND","RC0805FR-075R11L","RES SMD 5.11 OHM 1% 1/8W 0805","","0","0.12900","1.29"
"6","10","311-10.2KCRCT-ND","RC0805FR-0710K2L","RES SMD 10.2K OHM 1% 1/8W 0805","","0","0.06500","0.65"
"7","10","587-1291-6-ND","TMK212BJ105KG-T","CAP CER 1UF 25V X5R 0805","","0","1.21400","12.14"
"8","1","CT21912MST-ND","219-12MST","SWITCH SLIDE DIP SPST 100MA 20V","","0","2.10000","2.10"
"9","10","PCC1879CT-ND","ECJ-3VB1C564K","CAP CER 0.56UF 16V X7R 1206","","0","0.33300","3.33"
"10","3","PCC1877CT-ND","ECJ-3VB1C394K","CAP CER 0.39UF 16V X7R 1206","","0","0.48000","1.44"
"11","10","1276-1161-1-ND","CL21B224KAFNNNE","CAP CER 0.22UF 25V X7R 0805","","0","0.09900","0.99"
"12","10","1276-1003-1-ND","CL21B104KBCNNNC","CAP CER 0.1UF 50V X7R 0805","","0","0.07600","0.76"
"13","10","399-13386-1-ND","C0805C563J3JAC7800","CAP CER 0.056UF 25V U2J 0805","","0","0.87500","8.75"
"14","10","1276-2488-1-ND","CL21B223KBANFNC","CAP CER 0.022UF 50V X7R 0805","","0","0.06200","0.62"
"15","10","1276-1015-1-ND","CL21B103KBANNNC","CAP CER 10000PF 50V X7R 0805","","0","0.07300","0.73"
"16","10","478-1371-1-ND","08055C102KAT2A","CAP CER 1000PF 50V X7R 0805","","0","0.13500","1.35"
"17","10","1276-1171-1-ND","CL21B222KBANNNC","CAP CER 2200PF 50V X7R 0805","","0","0.06700","0.67"
"18","10","478-1378-1-ND","08055C392KAT2A","CAP CER 3900PF 50V X7R 0805","","0","0.17400","1.74"
"19","10","478-1380-1-ND","08055C562KAT2A","CAP CER 5600PF 50V X7R 0805","","0","0.26700","2.67"
